Genus,LFC_PC_vs_NC,LFC_G25_vs_NC,LFC_G50_vs_NC,Delta_G25,Delta_G50,Min_delta,Best_dose
Veillonella,-2.8770668032401856,-0.31689648064473447,-0.788768634884775,2.560170322595451,2.0882981683554105,2.0882981683554105,G50
Staphylococcus,3.362776773973479,1.1862133869675286,1.2718060506517521,2.17656338700595,2.0909707233217265,2.0909707233217265,G50
Leucobacter,-0.8212842227164439,-10.34087451702212,1.3279172145567621,9.519590294305676,2.149201437273206,2.149201437273206,G50
Lysinibacillus,2.6151579901954998,0.09875641643196931,0.41831321534329163,2.5164015737635306,2.196844774852208,2.196844774852208,G50
TM7a,1.2223704731546647,-1.0970445386178629,-1.3844311885040135,2.3194150117725276,2.606801661658678,2.3194150117725276,G25
Subdoligranulum,12.509122432529564,10.076238925238217,5.3603699068585335,2.432883507291347,7.14875252567103,2.432883507291347,G25
Kocuria,2.5997036650396064,0.13498927339086803,-0.004805931096285404,2.464714391648738,2.604509596135892,2.464714391648738,G25
Turicibacter,13.775956308988308,10.46533445336555,11.188677395611835,3.310621855622758,2.5872789133764726,2.5872789133764726,G50
Christensenellaceae_R-7_group,4.288824686985832,1.6333354422754953,0.6311260111413569,2.6554892447103366,3.657698675844475,2.6554892447103366,G25
Peptococcus,5.721294631923351,-6.0430478145263,2.984974488889664,11.764342446449652,2.736320143033687,2.736320143033687,G50
Brachybacterium,0.7119722096222029,-2.538242771743911,-2.030582180379893,3.250214981366114,2.742554390002096,2.742554390002096,G50
Clostridium_sensu_stricto_1,2.643047379571103,-0.7147734175735122,-0.42355779116905556,3.3578207971446155,3.066605170740159,3.066605170740159,G50
Jeotgalicoccus,3.061358833255875,-0.06399364019210205,-0.5426226269182086,3.125352473447977,3.603981460174084,3.125352473447977,G25
Tissierella,4.085143055549669,-7.712772546220504,0.027447776937504515,11.797915601770173,4.057695278612165,4.057695278612165,G50
