Genus,KW_H,KW_p,mean_NC,se_NC,mean_PC,se_PC,mean_G25,se_G25,mean_G50,se_G50,KW_BH_p
Kocuria,2.4038461538461577,0.4929190639634481,0.001204040899630576,0.0006388983375683249,0.007303501293567757,0.0027115677217153114,0.0013222369137434861,0.0011450907571233925,0.0012000333249474787,0.0006627420616312268,0.6401261435711599
Blautia,2.3945876288659833,0.494642929123169,0.00035684771993088426,0.00030903919074270033,0.004188291309303696,0.0029589514893305986,0.0026699916212973283,0.001335772417991963,7.402472425790214e-05,6.757501881525479e-05,0.6401261435711599
Veillonella,2.2765625000000043,0.5170257735296759,0.002416308079536607,0.001492641996573945,0.00032803992409585856,0.0002562287832290487,0.0019396028167976856,0.000984319151166981,0.0013982296033249206,0.0005090990303314492,0.6499752581515926
uncultured,2.186017699115051,0.5347076969635027,0.0030167163280811213,0.0014471851332619223,0.018097988968068187,0.007424752967269426,0.007215257027157686,0.0035663617418345995,0.0030765548941688466,0.0010947425303538113,0.6535316296220589
Facklamia,1.9767153284671517,0.5772535638516039,0.0005070993914807302,0.0004391609552659425,0.002206326082981982,0.0018285497440628732,0.0,0.0,0.0035720069006631976,0.0026213085965177264,0.6864636975532586
Leucobacter,1.5744827586207042,0.6651894225622543,0.0012959206671174217,0.0011223002190129641,0.0007329766180458844,0.0006555942175473986,0.0,0.0,0.0032547895460033837,0.0024159797194796087,0.7702193313878735
JG30-KF-CM45,1.4881538461538544,0.6850071030569703,0.0009878068702373613,0.000520999663612973,0.005269791401400954,0.0028967399852671705,0.001400015555728397,0.0012124490369541804,0.0011821382548013793,0.0009581784289277259,0.7728285265258127
Saccharimonadales,0.739812646370027,0.8638020227354721,0.0021035234016978438,0.0018217047033253911,0.0011107021556725446,0.0009450404286212881,0.0011849061189767272,0.0010261588001334724,0.001992380926157713,0.0009836691827256033,0.9501822250090194
Paracoccus,0.33130434782609425,0.9540373614262696,0.0013334835850048832,0.0011548306601437748,0.004152008138976431,0.002969876317779263,0.0011253586923686647,0.0005952530914810364,0.001525441227525642,0.0010418611133160174,0.9721353182103459
Jeotgalicoccus,0.3208762886597904,0.9560555685730243,0.000467556756195127,0.00040491602857602724,0.0039103172263796945,0.0033360120785324264,0.0004472271914132379,0.00038731010902702984,0.0003206744132032417,0.00021707925464073958,0.9721353182103459
Lysinibacillus,0.306958762886605,0.9587144560395896,0.00041757140471020544,0.0003616274443729909,0.0025635463582263317,0.002233751532956818,0.0004472271914132379,0.00038731010902702984,0.0005583638309179005,0.00034099948097312524,0.9721353182103459
Lactococcus,0.23275862068966177,0.9721353182103459,0.003904292634040421,0.0033812166048874655,0.00037852375734634923,0.0003385619410100289,0.00031111456793964375,0.0002694331193231511,0.0002781795927450762,0.00025394206330679785,0.9721353182103459
