taxon,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,mean_abundance
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides,2.258104749980378,0.8682003390436682,1.3482857434843623,1.38990441093671,0.9098190064960159,0.9098190064960159,G50,0.00036491954549856034
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum,8.363885847822127,9.290018846932618,0.0,0.9261329991104912,8.363885847822127,0.9261329991104912,G25,0.000238360794832494
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Ruminococcus]_torques_group,11.472093973428818,10.54514532110937,10.529344236092347,0.9269486523194477,0.9427497373364702,0.9269486523194477,G25,0.0014524808419433754
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia,4.070716598493665,-0.6414976368051581,3.0957712409428346,4.712214235298823,0.9749453575508307,0.9749453575508307,G50,0.0017074769179849165
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales,-0.4674195380520346,-9.642040165858822,0.6287997763111961,9.174620627806787,1.0962193143632306,1.0962193143632306,G50,0.0006523344278031164
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae,2.367898196422674,3.6915635586420854,1.23658253382194,1.3236653622194114,1.131315662600734,1.131315662600734,G50,0.012631562092221422
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella,10.187156260154685,11.322764092188269,6.81583293200976,1.1356078320335836,3.371323328144925,1.1356078320335836,G25,0.0009592464325891837
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,10.186013341108755,0.0,9.034695341740408,10.186013341108755,1.151317999368347,1.151317999368347,G50,0.0004218452137776417
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae,10.925807991124664,9.742262119312596,6.959383351533722,1.1835458718120684,3.966424639590942,1.1835458718120684,G25,0.0007308150999678475
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea,0.6938279889842707,-0.4973933121940041,-0.9660877896153883,1.1912213011782748,1.659915778599659,1.1912213011782748,G25,0.0008749817313397401
