"Feature","W","p_val","q_val","diff_abn"
"Unassigned.1",4.55277505641841,0,0,TRUE
"Flavobacterium",2.21799625085576,0.943175249626178,0.982505747957206,FALSE
"Alistipes",22.8571498052602,0,0,TRUE
"Rikenellaceae_RC9_gut_group",2.13279716275977,0.909387555493495,0.982505747957206,FALSE
"Muribaculaceae",6.27962087241937,0,0,TRUE
"Prevotellaceae_UCG-001",3.06955868507236,0.762048875901155,0.97321893077986,FALSE
"Alloprevotella",0.952924459894648,0.374718589526533,0.786446422463094,FALSE
"Bacteroides",9.69432463652709,0,0,TRUE
"Bacteroidales_UCG-001",0.75235662460712,0.278349239972191,0.762377559344491,FALSE
"Puia",0.609299470793653,0.211399577713799,0.629670735025579,FALSE
"Mitochondria",5.08435588832677,0.331446767106188,0.783608774227591,FALSE
"Absconditabacteriales_(SR1)",0.436625051822033,0.134846194019269,0.5533190738316,FALSE
"Chloroplast",1.11784865812301,0.454465625154354,0.822039217123294,FALSE
"Deinococcus",4.45889643767272,0,0,TRUE
"Saccharimonadales",2.44037076030991,0,0,TRUE
"Candidatus_Saccharimonas",0.448638426723151,0.139957177498581,0.5533190738316,FALSE
"Unassigned.5",2.84126233386504,0.833504737516318,0.982505747957206,FALSE
"TM7a",1.49012596303712,0,0,TRUE
"Unassigned.7",3.29839704999055,0.695731615695124,0.952817974369538,FALSE
"Candidatus_Cloacimonas",0.949071671920804,0.372855223240676,0.786446422463094,FALSE
"Herpetosiphon",3.81483600738894,0.564330328050559,0.880148218060505,FALSE
"JG30-KF-CM45",0.193091032412138,0,0,TRUE
"KD4-96",2.42193455405873,0.979129147429026,0.982505747957206,FALSE
