feature,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,verified_name,id_system,verification_status,source_type,source_note
GLYOXYLATE-BYPASS,1.04270802575138,-0.261858990344068,0.689730774717136,1.30456701609544,0.352977251034239,0.352977251034239,G50,,,,,
PENTOSE-P-PWY,0.230371348560482,-0.590328020931219,-0.127465485199057,0.820699369491701,0.357836833759539,0.357836833759539,G50,,,,,
P461-PWY,-1.18304986992979,-2.27167856979603,-0.823464641188645,1.08862869986624,0.359585228741145,0.359585228741145,G50,"hexitol fermentation to lactate, formate, ethanol and acetate",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages for P461-PWY.
FOLSYN-PWY,0.580590931670479,-0.319099202607996,0.217287178673211,0.899690134278474,0.363303752997268,0.363303752997268,G50,,,,,
P105-PWY,0.886583141036585,-0.36320499593902,0.520340732494575,1.24978813697561,0.36624240854201,0.36624240854201,G50,,,,,
FUCCAT-PWY,2.43492342333975,2.06546481790657,1.064513191921,0.369458605433184,1.37041023141876,0.369458605433184,G25,,,,,
COLANSYN-PWY,1.83370907987929,1.45776289481447,0.925464252985077,0.375946185064816,0.908244826894209,0.375946185064816,G25,,,,,
TCA-GLYOX-BYPASS,0.983440695375747,-0.27594678111761,0.606891870075002,1.25938747649336,0.376548825300745,0.376548825300745,G50,,,,,
ANAGLYCOLYSIS-PWY,-0.521110757098491,0.0132276099544846,-0.137627945210507,0.534338367052975,0.383482811887984,0.383482811887984,G50,glycolysis III (from glucose),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages.
GLYCOLYSIS,-0.427975842832257,0.126977956885018,-0.0427548994445124,0.554953799717275,0.385220943387745,0.385220943387745,G50,,,,,
PHOSLIPSYN-PWY,-0.51426796369508,-0.00268206981306773,-0.1278344849463,0.511585893882012,0.38643347874878,0.38643347874878,G50,,,,,
PWY-5097,-0.470907025990597,0.107049931804572,-0.0803289790589554,0.577956957795169,0.390578046931641,0.390578046931641,G50,,,,,
ECASYN-PWY,6.57362085211427,-6.78944679372964,6.18300539604257,13.3630676458439,0.3906154560717,0.3906154560717,G50,,,,,
PWY-5686,-0.564908368810247,-0.0287855150833294,-0.173391224602869,0.536122853726918,0.391517144207378,0.391517144207378,G50,,,,,
PWY4FS-8,-0.527624730841663,-0.00484594816506614,-0.132773116783097,0.522778782676597,0.394851614058567,0.394851614058567,G50,phosphatidylglycerol biosynthesis II (non-plastidic),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY4FS-7,-0.527624730841663,-0.00484594816506631,-0.132773116783097,0.522778782676597,0.394851614058567,0.394851614058567,G50,phosphatidylglycerol biosynthesis I (plastidic),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
GLYCOGENSYNTH-PWY,0.503356831683931,-0.432890777781772,0.106548170274286,0.936247609465702,0.396808661409645,0.396808661409645,G50,,,,,
PWY-6505,0.925665558340157,-0.874991399378634,0.521661204323605,1.80065695771879,0.404004354016552,0.404004354016552,G50,,,,,
PWY-7219,-0.55623912899714,0.00239495753715243,-0.150397772289951,0.558634086534293,0.405841356707189,0.405841356707189,G50,adenosine ribonucleotides de novo biosynthesis,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc/MetaCyc pages for PWY-7219.
PYRIDOXSYN-PWY,3.02389578416112,2.61524886780389,1.5444585078925,0.408646916357234,1.47943727626863,0.408646916357234,G25,,,,,
PWY0-1319,-0.506175243936176,0.0141565427322887,-0.0974655292887097,0.520331786668464,0.408709714647466,0.408709714647466,G50,,,,,
PWY-5667,-0.506175243936176,0.0141565427322887,-0.0974655292887094,0.520331786668464,0.408709714647466,0.408709714647466,G50,,,,,
PWY-5695,0.856873631161401,-0.0624535371880304,0.441354376168983,0.919327168349431,0.415519254992418,0.415519254992418,G50,,,,,
PWY-5484,-0.460129874780115,0.127438101564724,-0.0426643451048253,0.587567976344838,0.417465529675289,0.417465529675289,G50,,,,,
PWY-5973,-0.312416174751436,0.368221378597719,0.105602504252973,0.680637553349155,0.418018679004409,0.418018679004409,G50,,,,,
ANAEROFRUCAT-PWY,-0.452059578779728,0.144564341170064,-0.0321192165100123,0.596623919949792,0.419940362269716,0.419940362269716,G50,,,,,
PWY-6121,-0.38750850666848,0.252567816050155,0.0348007513727374,0.640076322718635,0.422309258041217,0.422309258041217,G50,,,,,
PWY-7229,-0.571210424277186,0.0258944984534923,-0.148148897513118,0.597104922730678,0.423061526764068,0.423061526764068,G50,superpathway of adenosine nucleotides de novo biosynthesis I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc PWY-7229 pages.
COA-PWY,-0.530258630375489,0.0516572624149518,-0.10470856205021,0.58191589279044,0.425550068325279,0.425550068325279,G50,,,,,
PWY-6901,0.137515291941479,-0.944744842474437,-0.290021917475947,1.08226013441592,0.427537209417426,0.427537209417426,G50,,,,,
PWY-7663,-0.337301004340881,0.36300248893152,0.0914776320259733,0.7003034932724,0.428778636366854,0.428778636366854,G50,,,,,
PWY-6404,16.6472073006445,16.216120928931,0,0.431086371713508,16.6472073006445,0.431086371713508,G25,,,,,
ARGSYN-PWY,0.275964226998152,-0.641075931982327,-0.156430777338274,0.917040158980479,0.432395004336426,0.432395004336426,G50,,,,,
PWY-6126,-0.592170622973767,0.0262614368575267,-0.157583295942539,0.618432059831294,0.434587327031227,0.434587327031227,G50,,,,,
PWY-6386,-0.574612810391427,0.0131068299878054,-0.138787203907113,0.587719640379233,0.435825606484314,0.435825606484314,G50,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY-6122,-0.398683210197294,0.249718841459099,0.0374911872063135,0.648402051656394,0.436174397403608,0.436174397403608,G50,,,,,
PWY-6277,-0.398683210197294,0.249718841459099,0.0374911872063135,0.648402051656394,0.436174397403608,0.436174397403608,G50,,,,,
PWY-7400,0.280236342552674,-0.638622496323745,-0.158650620968111,0.918858838876419,0.438886963520785,0.438886963520785,G50,,,,,
PWY-6629,15.8090166706205,0,15.3660488732657,15.8090166706205,0.442967797354784,0.442967797354784,G50,,,,,
UDPNAGSYN-PWY,-0.608690773685558,-0.0226893217153169,-0.161420246389335,0.586001451970241,0.447270527296223,0.447270527296223,G50,UDP-N-acetyl-D-glucosamine biosynthesis I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PEPTIDOGLYCANSYN-PWY,-0.593931300518474,0.00631017171472983,-0.146028389616299,0.600241472233203,0.447902910902175,0.447902910902175,G50,peptidoglycan biosynthesis I (meso-diaminopimelate containing),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY-6385,-0.595763909649038,0.0064797252252432,-0.146330456403469,0.602243634874282,0.44943345324557,0.44943345324557,G50,peptidoglycan biosynthesis III (mycobacteria),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY-5863,0.803424081853144,-0.605456040670753,0.353394018297479,1.4088801225239,0.450030063555665,0.450030063555665,G50,,,,,
FERMENTATION-PWY,0.359587239654328,-0.572992132174981,-0.0912835695435182,0.932579371829309,0.450870809197846,0.450870809197846,G50,,,,,
PWY-6387,-0.596977495075494,0.00967905569232183,-0.14366999888974,0.606656550767816,0.453307496185754,0.453307496185754,G50,,,,,
PWY-7220,-0.621118387098925,0.0597141268426931,-0.16500433278395,0.680832513941618,0.456114054314976,0.456114054314976,G50,,,,,
PWY-7222,-0.621118387098925,0.0597141268426931,-0.16500433278395,0.680832513941618,0.456114054314976,0.456114054314976,G50,,,,,
PWY-6123,-0.479830116667556,0.192610366248471,-0.0177864455640387,0.672440482916027,0.462043671103517,0.462043671103517,G50,,,,,
PWY-7221,-0.600851577439279,-0.0339569354464794,-0.138416833520555,0.566894641992799,0.462434743918724,0.462434743918724,G50,,,,,
