feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
COA-PWY,8.31842105263158,0.039869488874116,0.0116806177916626,0.00808801678071495,0.0121064329239077,0.0108628902697115,0.270926804400356,,,,,
P161-PWY,8.31210526315789,0.0399831571812039,0.0158865490586755,0.00889672760292447,0.0153182796332852,0.0137645654100178,0.270926804400356,,,,,
PWY-5347,8.31210526315789,0.0399831571812039,0.00157903600592077,0.00385356182024738,0.00209172800367613,0.00261701396271796,0.270926804400356,,,,,
PWY-5188,8.29894736842105,0.0402209827324155,0.000905173863081261,0.00331072264355657,0.0012802436210143,0.00161747342639845,0.270926804400356,,,,,
PWY0-162,8.28684210526316,0.0404410009586423,0.0126121348357772,0.00842801795790966,0.0134562468748887,0.0118914697408411,0.270926804400356,,,,,
GLCMANNANAUT-PWY,8.22789473684212,0.0415292849229966,0.000457706050703039,0.00244786782925931,0.00113489416000786,0.000790198628463177,0.270926804400356,,,,,
PWY-5189,8.20947368421052,0.0418751941878438,0.000810640601191031,0.00315397529427792,0.00122487107588861,0.00152705046379639,0.270926804400356,,,,,
PWY-841,8.17105263157895,0.0426057277169314,0.011951266759719,0.00840385921590435,0.0135844517265673,0.0118437310177606,0.270926804400356,,,,,
RIBOSYN2-PWY,8.16947368421052,0.0426360139770387,0.0018946924954975,0.00425189613113639,0.00208512386350913,0.00263663886875752,0.270926804400356,,,,,
PWY-6147,8.15105263157895,0.0429909083366294,0.0025172307165076,0.00366184154991803,0.00140409631999352,0.00197905963936296,0.270926804400356,,,,,
HISTSYN-PWY,8.14736842105263,0.0430622320157223,0.00163317695278156,0.00339511866075245,0.00143287164917505,0.00192697830657001,0.270926804400356,,,,,
PWY0-166,8.14736842105263,0.0430622320157223,0.0116154178225369,0.00737048806976243,0.0122991835271706,0.0108387910166294,0.270926804400356,,,,,
PANTO-PWY,8.13315789473685,0.0433384197844448,0.00144750536028674,0.00407486064827438,0.00211001871790601,0.00248666552651659,0.270926804400356,,,,,
PWY-7199,8.11421052631579,0.0437093575649334,0.0019538318415583,0.00440529428929811,0.00239268352621861,0.00313732017606205,0.270926804400356,,,,,
PWY-5484,8.06684210526315,0.0446502920391534,0.0130597522644293,0.0094934055076175,0.0142658493239985,0.012679195261546,0.270926804400356,,,,,
PWY-5097,8.0621052631579,0.0447454639640831,0.0114715923035044,0.00827687791438189,0.012355176307495,0.0108503130758253,0.270926804400356,,,,,
P441-PWY,8.05631578947369,0.0448620536633387,0.00139409510095675,0.00382366628314232,0.00205316508795304,0.00206943785145549,0.270926804400356,,,,,
SULFATE-CYS-PWY,8.05631578947369,0.0448620536633387,0.000769646865069122,0.00256654617497743,0.000979126834537261,0.00111051907249764,0.270926804400356,,,,,
PWY-2942,8.0463157894737,0.0450641334243516,0.0116812326219846,0.00893751103198574,0.0125024703950827,0.0110568871756333,0.270926804400356,,,,,
DENOVOPURINE2-PWY,8.04473684210527,0.045096121721103,0.0122987939306016,0.00849003438615799,0.0138367012629392,0.0120389990721392,0.270926804400356,,,,,
ARO-PWY,8.04210526315789,0.0451494847171151,0.00269625927763264,0.00469035374281558,0.00192713821625015,0.00254337567088582,0.270926804400356,,,,,
COMPLETE-ARO-PWY,8.04210526315789,0.0451494847171151,0.00277944884215205,0.00484059472832315,0.00197612737505878,0.00257837344553227,0.270926804400356,,,,,
POLYISOPRENSYN-PWY,7.99473684210527,0.046120604621375,0.0119142888876076,0.00747791440089419,0.0119570958948141,0.0109729536701668,0.270926804400356,,,,,
HEMESYN2-PWY,7.93421052631579,0.0473911246326929,0.000955599234441856,0.00259522678807281,0.000929796487806283,0.00157530555167468,0.270926804400356,,,,,
PWY-7242,7.91736842105263,0.047750679632124,0.000627148281806166,0.00261423771784668,0.00121904764697813,0.00119983712764875,0.270926804400356,,,,,
P23-PWY,7.89842105263158,0.0481583536832348,0.001091375822237,0.00265022642389443,0.000987429335829706,0.00158212039078116,0.270926804400356,,,,,
PWY-7187,7.86684210526316,0.0488453508167646,0.0111216304557528,0.00698394978648323,0.0117059363856612,0.0102803429289731,0.270926804400356,,,,,
PWY-7184,7.85263157894737,0.0491576024568245,0.0112671026534868,0.00737777304134721,0.0129198518138897,0.0111782470994233,0.270926804400356,,,,,
P4-PWY,7.83842105263157,0.0494717962079653,0.00188854289205635,0.00383302121542119,0.00185923812878288,0.00266315548325183,0.270926804400356,,,,,
P461-PWY,7.76736842105262,0.0510723034864929,0.00424295855800178,0.00186868096892945,0.000878668400156241,0.00239762442275207,0.270926804400356,"hexitol fermentation to lactate, formate, ethanol and acetate",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages for P461-PWY.
PWY-5101,7.75,0.0514711341703399,0.00347830800775389,0.00647504104867703,0.00311292049591023,0.00363681106361152,0.270926804400356,,,,,
PWY-7220,7.72,0.052167168277517,0.0138481025674354,0.00900357505540771,0.0144333125458152,0.0123514804169503,0.270926804400356,,,,,
PWY-7222,7.72,0.052167168277517,0.0138481025674354,0.00900357505540771,0.0144333125458152,0.0123514804169503,0.270926804400356,,,,,
